code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades
138A.T,5,0.8,1.5,1.0,0.05,0.02,0.5,0.5333333333333333,2
138A.T,5,0.8,1.5,1.0,0.05,0.05,1.0,999.0,1
138A.T,5,0.8,2.0,0.6,0.02,0.02,0.6,0.6000000000000001,5
138A.T,5,0.8,2.0,0.6,0.02,0.05,0.75,1.2000000000000002,4
138A.T,5,0.8,2.0,0.6,0.05,0.02,0.5,0.4,4
138A.T,5,0.8,2.0,0.6,0.05,0.05,0.6666666666666666,0.8,3
138A.T,5,0.8,2.0,0.8,0.02,0.02,0.5,0.4,4
138A.T,5,0.8,2.0,0.8,0.02,0.05,0.6666666666666666,0.8,3
138A.T,5,0.8,2.0,0.8,0.05,0.02,0.5,0.4,4
138A.T,5,0.8,2.0,0.8,0.05,0.05,0.6666666666666666,0.8,3
138A.T,5,0.8,2.0,1.0,0.02,0.02,0.5,0.4,2
138A.T,5,0.8,2.0,1.0,0.02,0.05,1.0,999.0,1
138A.T,5,0.8,2.0,1.0,0.05,0.02,0.5,0.4,2
138A.T,5,0.8,2.0,1.0,0.05,0.05,1.0,999.0,1
138A.T,5,1.0,1.5,0.6,0.02,0.02,0.4,0.4444444444444444,5
138A.T,5,1.0,1.5,0.6,0.02,0.05,0.5,0.6666666666666666,4
138A.T,5,1.0,1.5,0.6,0.05,0.02,0.5,0.6666666666666666,4
138A.T,5,1.0,1.5,0.6,0.05,0.05,0.6666666666666666,1.3333333333333333,3
138A.T,5,1.0,1.5,0.8,0.02,0.02,0.5,0.6666666666666666,4
138A.T,5,1.0,1.5,0.8,0.02,0.05,0.6666666666666666,1.3333333333333333,3
138A.T,5,1.0,1.5,0.8,0.05,0.02,0.5,0.6666666666666666,4
138A.T,5,1.0,1.5,0.8,0.05,0.05,0.6666666666666666,1.3333333333333333,3
138A.T,5,1.0,1.5,1.0,0.02,0.02,0.5,0.6666666666666666,2
138A.T,5,1.0,1.5,1.0,0.02,0.05,1.0,999.0,1
138A.T,5,1.0,1.5,1.0,0.05,0.02,0.5,0.6666666666666666,2
138A.T,5,1.0,1.5,1.0,0.05,0.05,1.0,999.0,1
138A.T,5,1.0,2.0,0.6,0.02,0.02,0.6,0.75,5
138A.T,5,1.0,2.0,0.6,0.02,0.05,0.75,1.5,4
138A.T,5,1.0,2.0,0.6,0.05,0.02,0.5,0.5,4
138A.T,5,1.0,2.0,0.6,0.05,0.05,0.6666666666666666,1.0,3
138A.T,5,1.0,2.0,0.8,0.02,0.02,0.5,0.5,4
138A.T,5,1.0,2.0,0.8,0.02,0.05,0.6666666666666666,1.0,3
138A.T,5,1.0,2.0,0.8,0.05,0.02,0.5,0.5,4
138A.T,5,1.0,2.0,0.8,0.05,0.05,0.6666666666666666,1.0,3
138A.T,5,1.0,2.0,1.0,0.02,0.02,0.5,0.5,2
138A.T,5,1.0,2.0,1.0,0.02,0.05,1.0,999.0,1
138A.T,5,1.0,2.0,1.0,0.05,0.02,0.5,0.5,2
138A.T,5,1.0,2.0,1.0,0.05,0.05,1.0,999.0,1
138A.T,5,1.2,1.5,0.6,0.02,0.02,0.4,0.5333333333333333,5
138A.T,5,1.2,1.5,0.6,0.02,0.05,0.5,0.7999999999999999,4
138A.T,5,1.2,1.5,0.6,0.05,0.02,0.5,0.7999999999999999,4
138A.T,5,1.2,1.5,0.6,0.05,0.05,0.6666666666666666,1.5999999999999999,3
138A.T,5,1.2,1.5,0.8,0.02,0.02,0.5,0.7999999999999999,4
138A.T,5,1.2,1.5,0.8,0.02,0.05,0.6666666666666666,1.5999999999999999,3
138A.T,5,1.2,1.5,0.8,0.05,0.02,0.5,0.7999999999999999,4
138A.T,5,1.2,1.5,0.8,0.05,0.05,0.6666666666666666,1.5999999999999999,3
138A.T,5,1.2,1.5,1.0,0.02,0.02,0.5,0.7999999999999999,2
138A.T,5,1.2,1.5,1.0,0.02,0.05,1.0,999.0,1
138A.T,5,1.2,1.5,1.0,0.05,0.02,0.5,0.7999999999999999,2
138A.T,5,1.2,1.5,1.0,0.05,0.05,1.0,999.0,1
138A.T,5,1.2,2.0,0.6,0.02,0.02,0.6,0.8999999999999999,5
138A.T,5,1.2,2.0,0.6,0.02,0.05,0.75,1.7999999999999998,4
138A.T,5,1.2,2.0,0.6,0.05,0.02,0.5,0.6,4
138A.T,5,1.2,2.0,0.6,0.05,0.05,0.6666666666666666,1.2,3
138A.T,5,1.2,2.0,0.8,0.02,0.02,0.5,0.6,4
138A.T,5,1.2,2.0,0.8,0.02,0.05,0.6666666666666666,1.2,3
