code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
7735.T,coarse,full,11,0.09090909090909091,0.125,0.09989339019189768,-1.2280727272727272,0,2
7741.T,coarse,full,5,0.6,3.0,1.498400852878465,0.2992,0,2
7751.T,coarse,full,7,0.2857142857142857,0.75,0.5992006394884093,-0.2865142857142857,0,2
7832.T,coarse,full,3,0.0,0.0,0.0,-1.5008,0,2
7911.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
7912.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
7936.T,coarse,full,6,0.5,4.5,1.4980015987210233,0.2492000000000001,0,2
7974.T,coarse,full,13,0.3076923076923077,0.6666666666666666,0.6657784883204548,-0.2315692307692307,0,2
8001.T,coarse,full,4,0.25,1.5,0.49933386624034115,-0.3757999999999999,0,2
8002.T,coarse,full,5,0.6,2.25,1.1239504198320671,0.09919999999999995,0,2
8015.T,coarse,full,5,0.0,0.0,0.0,-1.5008,0,2
8031.T,coarse,full,12,0.25,0.6428571428571429,0.49933386624034115,-0.3757999999999999,0,2
8035.T,coarse,full,5,0.0,0.0,0.0,-1.0008,0,2
8053.T,coarse,full,5,0.0,0.0,0.0,-1.0008,0,2
8058.T,coarse,full,6,0.3333333333333333,0.5,0.49946695095948823,-0.5008000000000001,0,2
8105.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
8113.T,coarse,full,2,1.0,999.0,999.0,1.4992,0,2
8136.T,coarse,full,8,0.875,10.5,10.486011191047163,1.1867,1,2
8233.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
8267.T,coarse,full,8,0.0,0.0,0.0,-1.0008,0,2
8306.T,coarse,full,7,0.14285714285714285,0.3,0.24966693312017055,-0.6436571428571428,0,2
8308.T,coarse,full,6,0.8333333333333334,999.0,3.746501399440225,0.9158666666666668,0,2
8309.T,coarse,full,5,0.0,0.0,0.0,-2.0008,0,2
8316.T,coarse,full,5,0.6,2.25,2.2470023980815346,0.4992,0,2
8331.T,coarse,full,5,0.6,999.0,1.1239504198320671,0.09919999999999995,0,2
8411.T,coarse,full,6,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
8473.T,coarse,full,11,0.09090909090909091,0.1875,0.14980015987210235,-0.7735272727272726,0,2
8591.T,coarse,full,5,0.0,0.0,0.0,-1.5008,0,2
8601.T,coarse,full,5,0.0,0.0,0.0,-1.0008,0,2
8604.T,coarse,full,6,0.3333333333333333,1.0,0.7490007993605117,-0.16746666666666665,0,2
8630.T,coarse,full,5,0.6,2.4,1.1985607675906185,0.11920000000000008,0,2
8697.T,coarse,full,4,0.25,0.75,0.49933386624034115,-0.3757999999999999,0,2
8725.T,coarse,full,3,0.3333333333333333,1.2,0.5991207034372502,-0.2674666666666667,0,2
8729.T,coarse,full,6,0.5,2.25,1.4980015987210233,0.2492000000000001,0,2
8750.T,coarse,full,6,0.8333333333333334,7.5,7.4900079936051185,1.0825333333333336,1,2
8766.T,coarse,full,8,0.25,0.6,0.49933386624034115,-0.3757999999999999,0,2
8795.T,coarse,full,2,0.0,0.0,0.0,-1.0008,0,2
8801.T,coarse,full,8,0.125,0.17142857142857143,0.17117734383921437,-0.7257999999999999,0,2
8802.T,coarse,full,5,0.4,1.5,0.9986677324806824,-0.0007999999999998009,0,2
8830.T,coarse,full,6,0.3333333333333333,0.6666666666666666,0.49946695095948823,-0.5008000000000001,0,2
9020.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
9021.T,coarse,full,4,0.0,0.0,0.0,-1.0008,0,2
9022.T,coarse,full,5,0.6,2.25,1.1239504198320671,0.09919999999999995,0,2
9023.T,coarse,full,3,0.0,0.0,0.0,-1.0008,0,2
9024.T,coarse,full,7,0.8571428571428571,6.0,5.993603411513857,1.0706285714285713,1,2
9101.T,coarse,full,9,0.2222222222222222,0.17142857142857143,0.171245787399326,-1.2896888888888887,0,2
9104.T,coarse,full,8,0.125,0.16666666666666666,0.14270484313128237,-1.1258,0,2
9107.T,coarse,full,11,0.09090909090909091,0.075,0.07493002798880449,-1.6826181818181818,0,2
9143.T,coarse,full,4,0.0,0.0,0.0,-1.0008,0,2
9201.T,coarse,full,5,0.0,0.0,0.0,-1.0008,0,2
9202.T,coarse,full,1,0.0,0.0,0.0,-1.5008,0,2
9432.T,coarse,full,6,0.8333333333333334,999.0,4.9946695095948845,0.9992000000000001,0,2
9433.T,coarse,full,5,0.8,999.0,3.9957356076759076,0.8992000000000002,0,2
9434.T,coarse,full,6,0.0,0.0,0.0,-1.0008,0,2
9501.T,coarse,full,9,0.1111111111111111,0.24,0.14978017585931258,-0.7563555555555554,0,2
9502.T,coarse,full,4,0.25,999.0,0.33297796730632556,-0.7507999999999999,0,2
9503.T,coarse,full,10,0.1,0.14285714285714285,0.11099265576877519,-1.2007999999999999,0,2
9504.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
9509.T,coarse,full,6,0.5,1.7999999999999998,1.1982414068745006,0.09920000000000007,0,2
9513.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
9602.T,coarse,full,5,1.0,999.0,999.0,1.1992,0,2
9697.T,coarse,full,5,0.2,0.75,0.37450039968025584,-0.5007999999999999,0,2
9831.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
9843.T,coarse,full,5,0.8,4.0,3.9957356076759076,0.8992000000000002,1,2
9861.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
9962.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
9983.T,coarse,full,6,0.8333333333333334,3.75,3.746501399440225,0.9158666666666668,0,2
9984.T,coarse,full,15,0.13333333333333333,0.14545454545454545,0.12292930949647368,-1.1408,0,2
