code,mode,signal_mode,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
1925.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,11,0.45454545454545453,2.5,1.248334665600853,0.13556363636363644,0,2
1928.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,7,0.2857142857142857,1.5,0.5992006394884093,-0.2865142857142857,0,2
1942.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,8,0.125,0.39999999999999997,0.17117734383921437,-0.7257999999999999,0,2
2036.T,coarse,full,1,1.5,1.0,0.4,0.01,0.05,60,17,0.11764705882352941,0.21428571428571427,0.19973354649613645,-0.7066823529411763,0,2
215A.T,coarse,full,5,1.2,2.0,0.4,0.01,0.01,60,16,0.625,1.0,0.9989337598294017,-0.0007999999999999119,0,2
2160.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,16,0.0,0.0,0.0,-1.0008,0,2
218A.T,coarse,full,5,1.5,2.0,0.4,0.03,0.01,60,7,0.14285714285714285,0.125,0.12488337998134079,-1.5008,0,2
219A.T,coarse,full,1,1.5,1.0,0.4,0.05,0.01,60,18,0.1111111111111111,0.21428571428571427,0.18725019984012792,-0.723022222222222,0,2
2267.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,12,0.0,0.0,0.0,-1.0008,0,2
2269.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,2,0.0,0.0,0.0,-1.0008,0,2
2334.T,coarse,full,3,1.5,1.0,0.6,0.05,0.01,60,3,0.6666666666666666,3.0,2.9960031974420467,0.6658666666666667,0,2
2413.T,coarse,full,1,1.5,2.0,0.6,0.03,0.03,60,8,0.625,1.25,1.248833799813408,0.1867000000000001,0,2
2432.T,coarse,full,3,1.2,1.0,0.4,0.01,0.05,60,12,0.25,0.6,0.3994138022915002,-0.4507999999999999,0,2
247A.T,coarse,full,1,1.5,1.0,0.6,0.01,0.01,60,15,0.3333333333333333,1.0714285714285714,0.7490007993605117,-0.16746666666666665,0,2
2502.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,23,0.043478260869565216,0.06818181818181818,0.0680909817600465,-0.8921043478260869,0,2
2503.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,5,0.2,1.5,0.37450039968025584,-0.5007999999999999,0,2
2670.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
2726.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,2,1.0,999.0,999.0,1.1992,0,2
2768.T,coarse,full,1,1.5,1.0,0.4,0.01,0.03,60,7,0.2857142857142857,0.6,0.5992006394884093,-0.2865142857142857,0,2
2801.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,3,0.0,0.0,0.0,-1.0008,0,2
2802.T,coarse,full,5,1.5,1.0,0.4,0.05,0.03,60,13,0.3076923076923077,0.75,0.6657784883204548,-0.2315692307692307,0,2
285A.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,14,0.14285714285714285,0.25,0.24966693312017055,-0.6436571428571428,0,2
