[2025-11-01 09:55:27] Run started
[2025-11-01 09:55:27] Run type resolved to weekend
[2025-11-01 09:55:28] Codes limited via output\bt30\NIGHTLY_20251101\universe_amt_top_300_2025-10-31.csv: 300 tickers (was 20)
[2025-11-01 09:58:05] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-11-01 09:59:39] Entry window marks set: 251314 rows flagged out of 2955447
[2025-11-01 09:59:42] Liquidity filter q=0.50 kept 222 tickers and 1595369 rows
[2025-11-01 09:59:42] Using 5 rolling slices (train=12, forward=4)
[2025-11-01 09:59:42] Parameter grid size: 240 (mode=coarse, signal=j-cross)
[2025-11-01 11:06:14] [206/222] 9101.T: best train_pf_eff=2.965, forward_pf_eff=3.105, trades=46/6
[2025-11-01 11:06:40] [207/222] 9104.T: best train_pf_eff=0.458, forward_pf_eff=0.457, trades=142/37
[2025-11-01 11:06:42] [208/222] 9502.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=6/3
[2025-11-01 11:06:53] [209/222] 9107.T: best train_pf_eff=0.466, forward_pf_eff=463.147, trades=38/17
[2025-11-01 11:07:43] [210/222] 9432.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=19/5
[2025-11-01 11:07:54] [211/222] 9506.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 11:07:55] [212/222] 9504.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 11:08:45] [213/222] 9434.T: best train_pf_eff=2.263, forward_pf_eff=5.072, trades=65/15
[2025-11-01 11:09:11] [214/222] 9433.T: best train_pf_eff=0.767, forward_pf_eff=0.855, trades=98/32
[2025-11-01 11:09:16] [215/222] 9831.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=12/4
[2025-11-01 11:09:20] [216/222] 9501.T: best train_pf_eff=0.473, forward_pf_eff=0.091, trades=59/6
[2025-11-01 11:09:40] [217/222] 9503.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=19/6
[2025-11-01 11:10:09] [218/222] 9983.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=10/8
[2025-11-01 11:10:10] [219/222] 9509.T: best train_pf_eff=2.697, forward_pf_eff=6.703, trades=14/5
