[2025-10-17 07:14:17] Run started
[2025-10-17 07:14:17] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 07:15:55] Session filter kept 69029 / 1824752 rows
[2025-10-17 07:15:55] Liquidity filter quantile=0.50 kept 262 tickers
[2025-10-17 07:15:55] Using 2 rolling slices (train=12, forward=4)
[2025-10-17 07:15:55] Parameter grid size: 96 (mode=coarse)
[2025-10-17 07:18:43] [164/262] 6871.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=10/3
[2025-10-17 07:18:44] [165/262] 6902.T: best train_pf_eff=0.125, forward_pf_eff=0.300, trades=13/6
[2025-10-17 07:18:45] [166/262] 6920.T: best train_pf_eff=0.088, forward_pf_eff=0.000, trades=18/7
[2025-10-17 07:18:47] [167/262] 6954.T: best train_pf_eff=0.441, forward_pf_eff=0.749, trades=22/3
[2025-10-17 07:18:48] [168/262] 6963.T: best train_pf_eff=0.187, forward_pf_eff=0.000, trades=18/3
[2025-10-17 07:18:49] [169/262] 6965.T: best train_pf_eff=2.996, forward_pf_eff=0.000, trades=6/0
[2025-10-17 07:18:50] [170/262] 6971.T: best train_pf_eff=1.498, forward_pf_eff=0.000, trades=2/1
[2025-10-17 07:18:51] [171/262] 6976.T: best train_pf_eff=0.441, forward_pf_eff=0.375, trades=27/6
[2025-10-17 07:18:53] [172/262] 6981.T: best train_pf_eff=0.428, forward_pf_eff=0.749, trades=18/6
[2025-10-17 07:18:54] [173/262] 6988.T: best train_pf_eff=0.250, forward_pf_eff=0.375, trades=8/6
[2025-10-17 07:18:55] [174/262] 7003.T: best train_pf_eff=0.300, forward_pf_eff=0.250, trades=24/7
[2025-10-17 07:18:57] [175/262] 7011.T: best train_pf_eff=0.562, forward_pf_eff=1.498, trades=11/8
[2025-10-17 07:18:58] [176/262] 7012.T: best train_pf_eff=0.832, forward_pf_eff=0.214, trades=14/8
[2025-10-17 07:18:59] [177/262] 7013.T: best train_pf_eff=0.375, forward_pf_eff=1.498, trades=10/6
