[2025-11-03 09:08:58] Run started
[2025-11-03 09:08:58] Run type resolved to weekend
[2025-11-03 09:08:59] Codes limited via output\\bt30\\NIGHTLY_20251101\\universe_amt_top_150_2025-10-31.csv: 150 tickers (was 20)
[2025-11-03 09:09:42] Fetching Yahoo Finance 1m bars for 1 tickers (lookback=60, chunk=5)
[2025-11-03 09:10:07] Entry window marks set: 472569 rows flagged out of 1760681
[2025-11-03 09:10:08] Liquidity filter q=0.50 kept 135 tickers and 884678 rows
[2025-11-03 09:10:08] Using 1 rolling slices (train=12, forward=20)
[2025-11-03 09:10:08] Parameter grid size: 24 (mode=coarse, signal=j-cross)
[2025-11-03 09:13:41] [112/135] 8473.T: best train_pf_eff=1.216, forward_pf_eff=0.122, trades=36/35
[2025-11-03 09:13:41] [113/135] 8697.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:13:44] [114/135] 8750.T: best train_pf_eff=0.713, forward_pf_eff=0.000, trades=5/0
[2025-11-03 09:13:47] [115/135] 8802.T: best train_pf_eff=0.000, forward_pf_eff=0.148, trades=0/5
[2025-11-03 09:13:48] [116/135] 8729.T: best train_pf_eff=0.245, forward_pf_eff=0.123, trades=3/9
[2025-11-03 09:13:48] [117/135] 8801.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:13:49] [118/135] 8725.T: best train_pf_eff=0.368, forward_pf_eff=0.638, trades=15/31
[2025-11-03 09:13:50] [119/135] 9020.T: best train_pf_eff=0.144, forward_pf_eff=0.000, trades=4/0
[2025-11-03 09:13:51] [120/135] 8766.T: best train_pf_eff=1.086, forward_pf_eff=1.422, trades=32/27
[2025-11-03 09:13:56] [121/135] 9201.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:13:57] [122/135] 9022.T: best train_pf_eff=1.414, forward_pf_eff=0.000, trades=6/0
[2025-11-03 09:14:02] [123/135] 9107.T: best train_pf_eff=0.000, forward_pf_eff=0.398, trades=0/34
[2025-11-03 09:14:06] [124/135] 9104.T: best train_pf_eff=0.498, forward_pf_eff=0.353, trades=34/42
[2025-11-03 09:14:07] [125/135] 9101.T: best train_pf_eff=0.899, forward_pf_eff=0.470, trades=38/51
[2025-11-03 09:14:11] [126/135] 9432.T: best train_pf_eff=0.976, forward_pf_eff=2.743, trades=54/68
[2025-11-03 09:14:13] [127/135] 9434.T: best train_pf_eff=0.284, forward_pf_eff=2.206, trades=8/19
[2025-11-03 09:14:14] [128/135] 9509.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:14:14] [129/135] 9433.T: best train_pf_eff=0.314, forward_pf_eff=0.449, trades=39/43
[2025-11-03 09:14:16] [130/135] 9503.T: best train_pf_eff=9.599, forward_pf_eff=0.000, trades=9/0
[2025-11-03 09:14:17] [131/135] 9697.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 09:14:18] [132/135] 9501.T: best train_pf_eff=0.833, forward_pf_eff=0.085, trades=36/10
[2025-11-03 09:14:22] [133/135] 9983.T: best train_pf_eff=0.000, forward_pf_eff=0.553, trades=0/55
[2025-11-03 09:14:22] [134/135] 9843.T: best train_pf_eff=1.846, forward_pf_eff=0.000, trades=21/6
[2025-11-03 09:14:23] [135/135] 9984.T: best train_pf_eff=0.557, forward_pf_eff=0.400, trades=19/40
[2025-11-03 09:14:24] Run completed in 5.4 minutes
