[2025-10-17 17:11:41] Run started
[2025-10-17 17:11:41] Codes limited via output\bt30\NIGHTLY_20251017\universe_amt_top_300_2025-10-17.csv: 300 tickers
[2025-10-17 17:11:41] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 17:13:12] Entry window marks set: 34639 rows flagged out of 1553831
[2025-10-17 17:13:14] Liquidity filter q=0.50 kept 300 tickers and 811565 rows
[2025-10-17 17:13:14] Using 1 rolling slices (train=12, forward=4)
[2025-10-17 17:13:14] Parameter grid size: 72 (mode=coarse, signal=j-only)
[2025-10-17 17:17:12] [115/300] 4902.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:17:13] [116/300] 4751.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/2
[2025-10-17 17:17:16] [117/300] 4592.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=3/0
[2025-10-17 17:17:22] [118/300] 5019.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:17:23] [119/300] 4689.T: best train_pf_eff=0.214, forward_pf_eff=999.000, trades=8/4
[2025-10-17 17:17:24] [120/300] 4661.T: best train_pf_eff=0.514, forward_pf_eff=999.000, trades=23/4
[2025-10-17 17:17:25] [121/300] 4889.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:17:26] [122/300] 5101.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:17:28] [123/300] 5105.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:17:30] [124/300] 5246.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:17:40] [125/300] 5253.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:17:41] [126/300] 4911.T: best train_pf_eff=0.954, forward_pf_eff=1.084, trades=10/8
[2025-10-17 17:17:42] [127/300] 4755.T: best train_pf_eff=0.511, forward_pf_eff=0.000, trades=24/2
[2025-10-17 17:17:42] [128/300] 5076.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:17:42] [129/300] 5406.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:17:47] [130/300] 4901.T: best train_pf_eff=0.137, forward_pf_eff=0.339, trades=25/8
[2025-10-17 17:17:50] [131/300] 5020.T: best train_pf_eff=1.535, forward_pf_eff=1.022, trades=11/3
[2025-10-17 17:17:55] [132/300] 5016.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=6/0
[2025-10-17 17:18:00] [133/300] 5108.T: best train_pf_eff=0.283, forward_pf_eff=0.324, trades=14/5
[2025-10-17 17:18:03] [134/300] 5724.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:18:04] [135/300] 5711.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/2
[2025-10-17 17:18:09] [136/300] 5595.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:18:10] [137/300] 5411.T: best train_pf_eff=0.718, forward_pf_eff=0.000, trades=6/0
[2025-10-17 17:18:11] [138/300] 5631.T: best train_pf_eff=0.408, forward_pf_eff=0.171, trades=23/5
[2025-10-17 17:18:12] [139/300] 5401.T: best train_pf_eff=1.719, forward_pf_eff=999.000, trades=8/2
[2025-10-17 17:18:16] [140/300] 5706.T: best train_pf_eff=2.510, forward_pf_eff=999.000, trades=11/5
[2025-10-17 17:18:17] [141/300] 5952.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:18:18] [142/300] 5991.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:18:22] [143/300] 6113.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:18:22] [144/300] 5726.T: best train_pf_eff=0.413, forward_pf_eff=999.000, trades=3/2
[2025-10-17 17:18:27] [145/300] 6177.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:18:30] [146/300] 5802.T: best train_pf_eff=1.816, forward_pf_eff=0.000, trades=8/4
[2025-10-17 17:18:32] [147/300] 5713.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=13/0
[2025-10-17 17:18:33] [148/300] 6141.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:18:37] [149/300] 5801.T: best train_pf_eff=0.699, forward_pf_eff=0.320, trades=16/7
[2025-10-17 17:18:40] [150/300] 5803.T: best train_pf_eff=1.112, forward_pf_eff=0.523, trades=11/9
[2025-10-17 17:18:41] [151/300] 5838.T: best train_pf_eff=0.827, forward_pf_eff=0.573, trades=12/2
[2025-10-17 17:18:46] [152/300] 6232.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=4/0
[2025-10-17 17:18:52] [153/300] 6268.T: best train_pf_eff=999.000, forward_pf_eff=0.513, trades=4/2
[2025-10-17 17:18:53] [154/300] 6098.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=4/1
[2025-10-17 17:18:57] [155/300] 6324.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:19:00] [156/300] 6471.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:19:01] [157/300] 6460.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:19:01] [158/300] 6178.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=11/0
[2025-10-17 17:19:05] [159/300] 6472.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:19:05] [160/300] 6146.T: best train_pf_eff=1.173, forward_pf_eff=0.605, trades=11/7
[2025-10-17 17:19:06] [161/300] 6330.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:19:07] [162/300] 6301.T: best train_pf_eff=2.864, forward_pf_eff=999.000, trades=17/3
[2025-10-17 17:19:12] [163/300] 6323.T: best train_pf_eff=4.409, forward_pf_eff=0.000, trades=8/0
[2025-10-17 17:19:13] [164/300] 6315.T: best train_pf_eff=4.449, forward_pf_eff=0.000, trades=9/4
[2025-10-17 17:19:15] [165/300] 6479.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:19:17] [166/300] 6326.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=2/0
[2025-10-17 17:19:28] [167/300] 6361.T: best train_pf_eff=2.242, forward_pf_eff=0.000, trades=8/0
[2025-10-17 17:19:34] [168/300] 6367.T: best train_pf_eff=1.423, forward_pf_eff=2.974, trades=17/7
[2025-10-17 17:19:40] [169/300] 6753.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:19:47] [170/300] 6503.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=13/0
[2025-10-17 17:19:48] [171/300] 6501.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=6/0
[2025-10-17 17:19:54] [172/300] 6754.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/0
[2025-10-17 17:19:56] [173/300] 6532.T: best train_pf_eff=1.042, forward_pf_eff=0.000, trades=5/1
[2025-10-17 17:19:57] [174/300] 6506.T: best train_pf_eff=0.560, forward_pf_eff=0.000, trades=17/0
[2025-10-17 17:19:57] [175/300] 6526.T: best train_pf_eff=0.998, forward_pf_eff=999.000, trades=18/1
[2025-10-17 17:19:58] [176/300] 6525.T: best train_pf_eff=0.527, forward_pf_eff=3.929, trades=15/14
[2025-10-17 17:20:00] [177/300] 6701.T: best train_pf_eff=1.429, forward_pf_eff=0.153, trades=15/5
[2025-10-17 17:20:02] [178/300] 6590.T: best train_pf_eff=3.695, forward_pf_eff=0.729, trades=17/8
[2025-10-17 17:20:04] [179/300] 6594.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/0
[2025-10-17 17:20:07] [180/300] 6723.T: best train_pf_eff=3.745, forward_pf_eff=0.000, trades=8/0
[2025-10-17 17:20:10] [181/300] 6752.T: best train_pf_eff=0.713, forward_pf_eff=0.674, trades=19/3
[2025-10-17 17:20:10] [182/300] 6702.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=3/0
[2025-10-17 17:20:18] [183/300] 6869.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:20:27] [184/300] 6814.T: best train_pf_eff=0.000, forward_pf_eff=1.475, trades=0/5
[2025-10-17 17:20:31] [185/300] 6758.T: best train_pf_eff=1.851, forward_pf_eff=0.000, trades=6/0
[2025-10-17 17:20:32] [186/300] 6762.T: best train_pf_eff=1.083, forward_pf_eff=0.000, trades=6/0
[2025-10-17 17:20:37] [187/300] 6965.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=4/0
[2025-10-17 17:20:38] [188/300] 6857.T: best train_pf_eff=0.402, forward_pf_eff=0.331, trades=12/4
[2025-10-17 17:20:45] [189/300] 6971.T: best train_pf_eff=0.206, forward_pf_eff=0.000, trades=10/0
[2025-10-17 17:20:45] [190/300] 6861.T: best train_pf_eff=0.937, forward_pf_eff=0.000, trades=16/4
[2025-10-17 17:20:47] [191/300] 6871.T: best train_pf_eff=0.941, forward_pf_eff=0.000, trades=11/1
[2025-10-17 17:20:48] [192/300] 6902.T: best train_pf_eff=0.413, forward_pf_eff=1.280, trades=20/5
[2025-10-17 17:20:48] [193/300] 6954.T: best train_pf_eff=0.350, forward_pf_eff=0.000, trades=29/3
[2025-10-17 17:20:50] [194/300] 6920.T: best train_pf_eff=0.072, forward_pf_eff=999.000, trades=12/12
[2025-10-17 17:20:50] [195/300] 6963.T: best train_pf_eff=0.387, forward_pf_eff=0.000, trades=9/0
[2025-10-17 17:20:51] [196/300] 6976.T: best train_pf_eff=0.370, forward_pf_eff=0.000, trades=13/0
[2025-10-17 17:20:59] [197/300] 7167.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:21:03] [198/300] 6981.T: best train_pf_eff=0.129, forward_pf_eff=999.000, trades=11/3
[2025-10-17 17:21:03] [199/300] 6988.T: best train_pf_eff=4.367, forward_pf_eff=999.000, trades=6/1
[2025-10-17 17:21:05] [200/300] 7186.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:21:09] [201/300] 7205.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:21:10] [202/300] 7003.T: best train_pf_eff=0.591, forward_pf_eff=0.341, trades=16/13
[2025-10-17 17:21:11] [203/300] 7211.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:21:19] [204/300] 7202.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=6/0
[2025-10-17 17:21:20] [205/300] 7012.T: best train_pf_eff=2.401, forward_pf_eff=0.000, trades=4/0
[2025-10-17 17:21:24] [206/300] 7011.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=4/0
[2025-10-17 17:21:27] [207/300] 7259.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=3/0
[2025-10-17 17:21:28] [208/300] 7276.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:21:32] [209/300] 7013.T: best train_pf_eff=1.583, forward_pf_eff=0.229, trades=9/11
[2025-10-17 17:21:34] [210/300] 7182.T: best train_pf_eff=2.435, forward_pf_eff=0.209, trades=16/3
[2025-10-17 17:21:35] [211/300] 7261.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/0
[2025-10-17 17:21:36] [212/300] 7203.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=8/0
[2025-10-17 17:21:36] [213/300] 7272.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:21:36] [214/300] 7201.T: best train_pf_eff=0.299, forward_pf_eff=0.000, trades=18/0
[2025-10-17 17:21:38] [215/300] 7599.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:21:44] [216/300] 7731.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:21:48] [217/300] 7730.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:21:52] [218/300] 7269.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/0
[2025-10-17 17:21:56] [219/300] 7270.T: best train_pf_eff=1.255, forward_pf_eff=1.322, trades=17/3
[2025-10-17 17:21:56] [220/300] 7776.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:21:57] [221/300] 7794.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
