[2025-10-17 07:51:50] Run started
[2025-10-17 07:51:50] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 07:53:35] Session filter kept 69029 / 1824752 rows
[2025-10-17 07:53:35] Liquidity filter quantile=0.50 kept 262 tickers
[2025-10-17 07:53:35] Using 2 rolling slices (train=12, forward=4)
[2025-10-17 07:53:35] Parameter grid size: 648 (mode=coarse, signal=full)
[2025-10-17 08:03:19] [82/262] 4503.T: best train_pf_eff=0.636, forward_pf_eff=3.996, trades=18/5
[2025-10-17 08:03:28] [83/262] 4506.T: best train_pf_eff=0.636, forward_pf_eff=1.332, trades=18/7
[2025-10-17 08:03:35] [84/262] 4507.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/2
[2025-10-17 08:03:45] [85/262] 4519.T: best train_pf_eff=0.261, forward_pf_eff=0.499, trades=27/8
[2025-10-17 08:03:57] [86/262] 4523.T: best train_pf_eff=0.999, forward_pf_eff=2.996, trades=10/6
[2025-10-17 08:04:02] [87/262] 4528.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 08:04:12] [88/262] 4543.T: best train_pf_eff=0.400, forward_pf_eff=0.200, trades=15/5
[2025-10-17 08:04:26] [89/262] 4568.T: best train_pf_eff=0.499, forward_pf_eff=1.498, trades=20/8
[2025-10-17 08:04:33] [90/262] 4571.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=3/5
[2025-10-17 08:04:42] [91/262] 4578.T: best train_pf_eff=0.399, forward_pf_eff=2.396, trades=8/3
[2025-10-17 08:04:46] [92/262] 4588.T: best train_pf_eff=1.198, forward_pf_eff=1.198, trades=2/2
[2025-10-17 08:04:57] [93/262] 4592.T: best train_pf_eff=0.346, forward_pf_eff=999.000, trades=16/5
[2025-10-17 08:05:00] [94/262] 4612.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/1
[2025-10-17 08:05:12] [95/262] 4661.T: best train_pf_eff=0.375, forward_pf_eff=0.107, trades=21/8
[2025-10-17 08:05:18] [96/262] 4680.T: best train_pf_eff=0.533, forward_pf_eff=0.000, trades=5/1
[2025-10-17 08:05:27] [97/262] 4689.T: best train_pf_eff=1.748, forward_pf_eff=0.000, trades=13/4
[2025-10-17 08:05:35] [98/262] 4704.T: best train_pf_eff=1.498, forward_pf_eff=0.000, trades=4/4
[2025-10-17 08:05:38] [99/262] 4732.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/0
[2025-10-17 08:05:44] [100/262] 4751.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=4/2
