[2025-11-04 17:38:49] Run started
[2025-11-04 17:38:49] Run type resolved to weekday
[2025-11-04 17:38:50] Codes limited via C:\AI\asagake\output\bt30\NIGHTLY_20251101\universe_amt_top_300_2025-10-31.csv: 300 tickers (was 20)
[2025-11-04 17:41:02] Fetching Yahoo Finance 1m bars for 1 tickers (lookback=60, chunk=5)
[2025-11-04 17:41:31] Entry window marks set: 246483 rows flagged out of 2894552
[2025-11-04 17:41:33] Liquidity filter q=0.50 kept 222 tickers and 1564022 rows
[2025-11-04 17:41:33] Using 5 rolling slices (train=12, forward=4)
[2025-11-04 17:41:33] Parameter grid size: 240 (mode=coarse, signal=j-only)
[2025-11-04 17:41:33] Ineffective-band mask removed 96 combos for J_th values [0.3, 0.4, 0.6, 0.7, 0.8, 1.0]
[2025-11-04 17:49:00] [94/222] 5713.T: best train_pf_eff=0.385, forward_pf_eff=1.089, trades=114/9
[2025-11-04 17:49:05] [95/222] 5726.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=34/11
[2025-11-04 17:49:14] [96/222] 5801.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=16/9
[2025-11-04 17:49:15] [97/222] 5802.T: best train_pf_eff=1.391, forward_pf_eff=999.000, trades=3/4
[2025-11-04 17:49:16] [98/222] 6098.T: best train_pf_eff=0.190, forward_pf_eff=0.052, trades=48/30
[2025-11-04 17:49:17] [99/222] 5803.T: best train_pf_eff=0.375, forward_pf_eff=0.286, trades=80/40
[2025-11-04 17:49:18] [100/222] 6177.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:49:23] [101/222] 6146.T: best train_pf_eff=1.259, forward_pf_eff=999.000, trades=48/16
[2025-11-04 17:49:26] [102/222] 6178.T: best train_pf_eff=9.434, forward_pf_eff=4.989, trades=30/14
[2025-11-04 17:49:29] [103/222] 6268.T: best train_pf_eff=0.160, forward_pf_eff=0.102, trades=14/20
[2025-11-04 17:49:43] [104/222] 6324.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:49:47] [105/222] 6330.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:49:50] [106/222] 6323.T: best train_pf_eff=9.808, forward_pf_eff=8.766, trades=53/24
[2025-11-04 17:49:51] [107/222] 6326.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=51/34
[2025-11-04 17:49:57] [108/222] 6479.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:50:02] [109/222] 6301.T: best train_pf_eff=0.277, forward_pf_eff=999.000, trades=21/2
[2025-11-04 17:50:03] [110/222] 6361.T: best train_pf_eff=0.353, forward_pf_eff=0.510, trades=51/34
[2025-11-04 17:50:05] [111/222] 6315.T: best train_pf_eff=3.338, forward_pf_eff=999.000, trades=87/18
[2025-11-04 17:50:51] [112/222] 6501.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=57/7
[2025-11-04 17:50:53] [113/222] 6506.T: best train_pf_eff=5.393, forward_pf_eff=999.000, trades=57/16
[2025-11-04 17:50:55] [114/222] 6503.T: best train_pf_eff=0.732, forward_pf_eff=0.344, trades=158/37
[2025-11-04 17:50:56] [115/222] 6525.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=17/8
[2025-11-04 17:51:10] [116/222] 6526.T: best train_pf_eff=4.771, forward_pf_eff=999.000, trades=30/2
[2025-11-04 17:51:11] [117/222] 6594.T: best train_pf_eff=1.974, forward_pf_eff=0.795, trades=106/29
[2025-11-04 17:51:14] [118/222] 6701.T: best train_pf_eff=1.462, forward_pf_eff=0.275, trades=172/51
[2025-11-04 17:51:15] [119/222] 6702.T: best train_pf_eff=0.308, forward_pf_eff=0.277, trades=175/17
[2025-11-04 17:51:32] [120/222] 6740.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/4
[2025-11-04 17:51:50] [121/222] 6814.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/3
[2025-11-04 17:51:53] [122/222] 6869.T: best train_pf_eff=2.001, forward_pf_eff=2.001, trades=8/4
[2025-11-04 17:52:06] [123/222] 6723.T: best train_pf_eff=0.549, forward_pf_eff=0.687, trades=220/63
[2025-11-04 17:52:07] [124/222] 6758.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=22/9
[2025-11-04 17:52:10] [125/222] 6752.T: best train_pf_eff=0.685, forward_pf_eff=0.544, trades=188/66
[2025-11-04 17:52:33] [126/222] 6857.T: best train_pf_eff=0.635, forward_pf_eff=1.121, trades=75/45
[2025-11-04 17:52:35] [127/222] 6762.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=64/7
[2025-11-04 17:52:47] [128/222] 6965.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=21/21
[2025-11-04 17:52:50] [129/222] 6971.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=17/15
[2025-11-04 17:52:50] [130/222] 6902.T: best train_pf_eff=1.280, forward_pf_eff=999.000, trades=69/14
[2025-11-04 17:53:03] [131/222] 6920.T: best train_pf_eff=3.372, forward_pf_eff=999.000, trades=22/12
[2025-11-04 17:53:08] [132/222] 6954.T: best train_pf_eff=0.976, forward_pf_eff=2.029, trades=238/85
[2025-11-04 17:53:17] [133/222] 6963.T: best train_pf_eff=0.211, forward_pf_eff=0.133, trades=184/44
[2025-11-04 17:53:21] [134/222] 6976.T: best train_pf_eff=999.000, forward_pf_eff=1.133, trades=17/15
[2025-11-04 17:53:34] [135/222] 6988.T: best train_pf_eff=1.317, forward_pf_eff=0.610, trades=29/45
[2025-11-04 17:53:43] [136/222] 6981.T: best train_pf_eff=1.847, forward_pf_eff=999.000, trades=105/19
[2025-11-04 17:53:50] [137/222] 7014.T: best train_pf_eff=0.722, forward_pf_eff=1.887, trades=31/31
[2025-11-04 17:53:50] [138/222] 7011.T: best train_pf_eff=1.070, forward_pf_eff=1.203, trades=47/15
[2025-11-04 17:53:51] [139/222] 7003.T: best train_pf_eff=4.535, forward_pf_eff=1.148, trades=74/22
[2025-11-04 17:54:00] [140/222] 7012.T: best train_pf_eff=2.410, forward_pf_eff=999.000, trades=105/15
[2025-11-04 17:54:02] [141/222] 7186.T: best train_pf_eff=0.401, forward_pf_eff=0.401, trades=11/11
[2025-11-04 17:54:05] [142/222] 7013.T: best train_pf_eff=5.691, forward_pf_eff=4.059, trades=47/26
[2025-11-04 17:54:20] [143/222] 7182.T: best train_pf_eff=10.429, forward_pf_eff=999.000, trades=88/19
[2025-11-04 17:54:25] [144/222] 7211.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:54:27] [145/222] 7202.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:54:35] [146/222] 7259.T: best train_pf_eff=2.218, forward_pf_eff=2.218, trades=8/4
[2025-11-04 17:54:54] [147/222] 7201.T: best train_pf_eff=0.352, forward_pf_eff=1.337, trades=133/20
[2025-11-04 17:54:59] [148/222] 7261.T: best train_pf_eff=0.594, forward_pf_eff=0.047, trades=36/7
[2025-11-04 17:55:00] [149/222] 7203.T: best train_pf_eff=0.390, forward_pf_eff=0.610, trades=172/35
[2025-11-04 17:55:08] [150/222] 7272.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=6/3
[2025-11-04 17:55:16] [151/222] 7267.T: best train_pf_eff=0.864, forward_pf_eff=999.000, trades=46/3
[2025-11-04 17:55:21] [152/222] 7270.T: best train_pf_eff=0.368, forward_pf_eff=0.062, trades=114/37
[2025-11-04 17:55:24] [153/222] 7269.T: best train_pf_eff=3.595, forward_pf_eff=999.000, trades=102/24
[2025-11-04 17:55:26] [154/222] 7599.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=6/3
[2025-11-04 17:55:27] [155/222] 7711.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=6/2
[2025-11-04 17:55:33] [156/222] 7453.T: best train_pf_eff=0.385, forward_pf_eff=0.603, trades=200/48
[2025-11-04 17:55:40] [157/222] 7731.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:55:40] [158/222] 7532.T: best train_pf_eff=999.000, forward_pf_eff=14.831, trades=12/18
[2025-11-04 17:55:56] [159/222] 7746.T: best train_pf_eff=6.462, forward_pf_eff=6.462, trades=9/9
[2025-11-04 17:55:57] [160/222] 7733.T: best train_pf_eff=0.759, forward_pf_eff=0.519, trades=48/28
[2025-11-04 17:56:01] [161/222] 7762.T: best train_pf_eff=0.346, forward_pf_eff=0.346, trades=12/6
[2025-11-04 17:56:20] [162/222] 7751.T: best train_pf_eff=1.308, forward_pf_eff=1.684, trades=148/41
[2025-11-04 17:56:20] [163/222] 7832.T: best train_pf_eff=999.000, forward_pf_eff=3.401, trades=33/18
[2025-11-04 17:56:22] [164/222] 7735.T: best train_pf_eff=2.828, forward_pf_eff=999.000, trades=59/19
[2025-11-04 17:56:37] [165/222] 8015.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=27/22
[2025-11-04 17:56:51] [166/222] 7936.T: best train_pf_eff=1.938, forward_pf_eff=999.000, trades=17/2
[2025-11-04 17:56:52] [167/222] 7974.T: best train_pf_eff=2.092, forward_pf_eff=3.756, trades=43/4
[2025-11-04 17:57:03] [168/222] 8001.T: best train_pf_eff=26438.107, forward_pf_eff=999.000, trades=26/4
[2025-11-04 17:57:03] [169/222] 8002.T: best train_pf_eff=1.136, forward_pf_eff=0.756, trades=193/52
[2025-11-04 17:57:20] [170/222] 8031.T: best train_pf_eff=1.077, forward_pf_eff=1.289, trades=166/63
[2025-11-04 17:57:22] [171/222] 8035.T: best train_pf_eff=1.348, forward_pf_eff=999.000, trades=53/19
[2025-11-04 17:57:25] [172/222] 8105.T: best train_pf_eff=3.794, forward_pf_eff=3.794, trades=12/4
[2025-11-04 17:57:25] [173/222] 8053.T: best train_pf_eff=5.518, forward_pf_eff=999.000, trades=199/46
[2025-11-04 17:57:30] [174/222] 8113.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=26/0
[2025-11-04 17:57:39] [175/222] 8058.T: best train_pf_eff=4.211, forward_pf_eff=999.000, trades=145/15
[2025-11-04 17:57:50] [176/222] 8233.T: best train_pf_eff=0.127, forward_pf_eff=0.175, trades=72/29
[2025-11-04 17:58:05] [177/222] 8136.T: best train_pf_eff=0.543, forward_pf_eff=0.234, trades=154/27
[2025-11-04 17:58:11] [178/222] 8331.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:58:22] [179/222] 8267.T: best train_pf_eff=0.603, forward_pf_eff=0.413, trades=312/70
[2025-11-04 17:58:23] [180/222] 8306.T: best train_pf_eff=1.285, forward_pf_eff=0.441, trades=144/52
[2025-11-04 17:58:23] [181/222] 8309.T: best train_pf_eff=5.896, forward_pf_eff=999.000, trades=21/3
[2025-11-04 17:58:24] [182/222] 8410.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:58:29] [183/222] 8308.T: best train_pf_eff=1.182, forward_pf_eff=5.714, trades=29/6
[2025-11-04 17:58:34] [184/222] 8316.T: best train_pf_eff=0.313, forward_pf_eff=999.000, trades=12/2
[2025-11-04 17:58:48] [185/222] 8593.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:58:52] [186/222] 8601.T: best train_pf_eff=1.507, forward_pf_eff=0.169, trades=24/27
