code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades,PF_eff
4503.T,5,1.2,2.0,0.6,0.05,0.05,0.271523178807947,0.22777777777777775,151,0.223397913561848
4506.T,3,1.2,1.5,1.0,0.02,0.02,0.27439024390243905,0.3025210084033613,164,0.30215817670351724
4507.T,1,1.2,1.5,0.6,0.05,0.02,0.3,0.3428571428571428,160,0.34244593359731956
4519.T,3,1.2,2.0,0.6,0.02,0.05,0.32941176470588235,0.2973451327433628,170,0.29442258184445524
4528.T,5,1.2,1.5,1.0,0.05,0.05,0.23404255319148937,0.24444444444444446,141,0.244151267472163
4543.T,5,1.2,1.5,0.6,0.02,0.05,0.2236024844720497,0.23039999999999997,161,0.23012366737739876
4563.T,1,0.8,1.5,0.6,0.02,0.02,0.8571428571428571,999.0,7,3.195095948827291
4564.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,
4568.T,3,1.2,2.0,0.6,0.05,0.05,0.2392638036809816,0.19024390243902436,163,0.18850846758070966
4571.T,3,1.2,1.5,0.8,0.05,0.05,0.4090909090909091,0.576,44,0.5531818927341318
4586.T,1,1.2,1.5,0.6,0.02,0.02,0.48717948717948717,0.76,39,0.759088486140725
4591.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,3,
4592.T,3,1.2,2.0,0.8,0.02,0.02,0.3756906077348066,0.36428571428571427,181,0.36067696815079275
4593.T,2,1.2,1.5,0.8,0.05,0.05,0.3223684210526316,0.39595959595959596,152,0.38012606868569776
4594.T,1,0.8,1.5,0.8,0.02,0.02,1.0,999.0,13,
4597.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,6,
4612.T,1,1.2,1.5,0.8,0.02,0.05,0.17647058823529413,0.17391304347826086,85,0.1712229667986598
4661.T,1,1.2,2.0,0.6,0.05,0.02,0.17901234567901234,0.1318181818181818,162,0.13068757459422248
4680.T,1,1.2,1.5,0.8,0.05,0.02,0.3026315789473684,0.3538461538461538,76,0.3467534296174116
4689.T,1,1.2,2.0,0.6,0.05,0.05,0.20754716981132076,0.15714285714285714,159,0.15697530511604882
4751.T,5,1.2,2.0,0.8,0.02,0.05,0.24324324324324326,0.19285714285714284,148,0.19265151082424173
4755.T,3,1.2,2.0,1.0,0.05,0.05,0.44680851063829785,0.48461538461538456,141,0.4840986682250176
4833.T,1,1.2,1.5,0.6,0.02,0.05,0.3783783783783784,0.5090909090909091,37,0.4863724853990916
4901.T,5,1.2,2.0,0.6,0.02,0.05,0.23595505617977527,0.18666666666666668,178,0.18509654961544794
4902.T,5,1.2,2.0,1.0,0.02,0.02,0.35542168674698793,0.3339622641509434,166,0.33048836540150295
4911.T,2,1.2,1.5,0.6,0.05,0.02,0.26851851851851855,0.29554140127388534,216,0.2933186688618392
4996.T,1,1.0,1.5,1.0,0.02,0.05,0.30434782608695654,0.3888888888888889,23,0.29127798507462693
5016.T,3,1.2,1.5,1.0,0.02,0.05,0.23622047244094488,0.24742268041237114,127,0.24712593146198322
5019.T,1,1.2,1.5,0.6,0.05,0.05,0.1386861313868613,0.1288135593220339,137,0.1286590654475805
5020.T,5,1.2,2.0,0.8,0.02,0.05,0.2840909090909091,0.23809523809523808,176,0.2378413713879528
5076.T,3,1.2,1.5,0.6,0.05,0.05,0.2774566473988439,0.3072,173,0.3068315565031983
5108.T,2,1.2,1.5,1.0,0.05,0.02,0.14917127071823205,0.14210526315789473,181,0.14009151828981253
5110.T,3,1.2,1.5,0.8,0.02,0.02,0.16494845360824742,0.1580246913580247,194,0.1578351628102872
5202.T,1,1.2,1.5,1.0,0.05,0.02,0.2682926829268293,0.29333333333333333,41,0.2929815209665957
5301.T,1,1.2,1.5,0.6,0.05,0.05,0.17073170731707318,0.16470588235294117,123,0.16450834064969275
5401.T,5,1.2,1.5,0.6,0.05,0.05,0.18518518518518517,0.18181818181818182,162,0.18160011630160883
5406.T,5,1.2,1.5,0.6,0.05,0.02,0.19186046511627908,0.19130434782608696,172,0.18970026537405474
5411.T,1,1.2,1.5,0.6,0.02,0.02,0.16939890710382513,0.16315789473684209,183,0.16296220962854902
5595.T,2,1.2,2.0,0.6,0.02,0.02,0.2918918918918919,0.24923076923076923,185,0.2470645329654398
5706.T,2,1.2,2.0,1.0,0.05,0.05,0.2929936305732484,0.2509090909090909,157,0.2483835294710944
5711.T,3,1.2,2.0,0.8,0.05,0.02,0.22959183673469388,0.17880794701986755,196,0.17861729480393274
5713.T,2,1.2,1.5,0.8,0.02,0.05,0.3353658536585366,0.411214953271028,164,0.4031855793118289
5721.T,1,1.0,1.5,0.8,0.05,0.05,0.42857142857142855,0.5333333333333333,28,0.49933368869936035
5726.T,3,1.2,1.5,0.6,0.02,0.05,0.27450980392156865,0.3027027027027027,153,0.30233965308592176
5801.T,2,1.2,2.0,0.6,0.02,0.02,0.3089887640449438,0.2796610169491525,178,0.26800661849081503
5802.T,5,1.2,1.5,1.0,0.02,0.05,0.273972602739726,0.3018867924528302,146,0.3015247214064448
5803.T,5,1.2,2.0,0.6,0.05,0.05,0.4370860927152318,0.46588235294117647,151,0.46538561046169774
5831.T,1,1.2,1.5,0.6,0.05,0.02,0.24193548387096775,0.2608695652173913,124,0.2550129292745997
