code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
7746.T,5,1.2,2.0,0.8,0.05,0.05,0.33070866141732286,0.2964705882352941,127,0.2961544793847168,0.20754716981132076,0.1692307692307692,53,5,1.2,2.0,0.8,0.05,0.05,0.15697530511604882
7751.T,5,1.2,1.5,0.8,0.05,0.05,0.18309859154929578,0.1793103448275862,142,0.17909528711124184,0.390625,0.5128205128205128,64,5,1.2,1.5,0.8,0.05,0.05,0.512205456235307
7752.T,5,1.2,2.0,1.0,0.05,0.02,0.3699421965317919,0.35555555555555557,173,0.3519179484169635,0.36363636363636365,0.35294117647058826,55,5,1.2,2.0,1.0,0.05,0.02,0.342491574798652
7762.T,1,1.2,1.5,0.8,0.02,0.05,0.5517241379310345,1.1636363636363636,29,0.9834344759717895,0.21739130434782608,0.2222222222222222,23,1,1.2,1.5,0.8,0.02,0.05,0.22195569770196638
7776.T,2,1.2,1.5,1.0,0.02,0.05,0.25925925925925924,0.28,54,0.2796641791044776,0.14035087719298245,0.13333333333333333,57,2,1.2,1.5,1.0,0.02,0.05,0.13045559375135982
7777.T,5,1.2,2.0,0.8,0.05,0.02,0.4306569343065693,0.46578947368421053,137,0.4533622448456515,0.13725490196078433,0.10243902439024391,51,5,1.2,2.0,0.8,0.05,0.02,0.0953527679837156
7779.T,1,0.8,1.5,0.6,0.05,0.02,1.0,999.0,6,,0.3333333333333333,0.3047619047619048,12,1,0.8,1.5,0.6,0.05,0.02,0.2662579957356076
7832.T,5,1.2,1.5,0.8,0.05,0.05,0.17543859649122806,0.17266187050359713,171,0.17000861951639978,0.24528301886792453,0.26,53,5,1.2,1.5,0.8,0.05,0.05,0.25968816631130065
7936.T,5,1.2,2.0,0.8,0.02,0.02,0.35714285714285715,0.3333333333333333,168,0.3329779199431339,0.5,0.6444444444444444,58,5,1.2,2.0,0.8,0.02,0.02,0.599360255897641
7951.T,5,1.2,2.0,1.0,0.05,0.05,0.2679738562091503,0.2216216216216216,153,0.2194086651053864,0.2549019607843137,0.2108108108108108,51,5,1.2,2.0,1.0,0.05,0.05,0.20504429807024557
7974.T,5,1.2,2.0,0.6,0.02,0.05,0.18238993710691823,0.13700787401574802,159,0.13370344170024298,0.5333333333333333,0.6857142857142856,45,5,1.2,2.0,0.6,0.02,0.05,0.6849831495973039
8001.T,5,1.2,1.5,1.0,0.05,0.02,0.2976190476190476,0.34782608695652173,168,0.3385764880199487,0.36363636363636365,0.4923076923076923,66,5,1.2,1.5,1.0,0.05,0.02,0.4565945781297594
8002.T,5,1.2,2.0,0.8,0.05,0.05,0.34782608695652173,0.32,161,0.31965880314540857,0.3508771929824561,0.32432432432432434,57,5,1.2,2.0,0.8,0.05,0.05,0.3239785167014276
8015.T,5,1.2,1.5,0.6,0.02,0.05,0.2602739726027397,0.2814814814814815,146,0.28114388375582405,0.2835820895522388,0.32340425531914896,67,5,1.2,1.5,0.6,0.02,0.05,0.3162868692253021
