シンボル,詳細,価格,価格 - 通貨,価格変動 % 1日,出来高 1日,相対ボリューム 1日,時価総額,時価総額 - 通貨,相対ボリューム (対時間比),セクター,ボラティリティ 1日,価格 * 出来高 (売買代金) 1分,価格 * 出来高 (売買代金) 1分 - 通貨,価格 * 出来高 (売買代金) 5分,価格 * 出来高 (売買代金) 5分 - 通貨,価格 * 出来高 (売買代金) 15分,価格 * 出来高 (売買代金) 15分 - 通貨,価格 * 出来高 (売買代金) 1日,価格 * 出来高 (売買代金) 1日 - 通貨,価格変動 % 1分,価格変動 % 5分,価格変動 % 15分,価格変動 % 1日,始値からの変動 % 1分,始値からの変動 % 5分,始値からの変動 % 15分,始値からの変動 % 1日,ADR (日中平均レンジ) %,ADX (平均方向性指数) (14) 1日,ATR (アベレージ・トゥルー・レンジ) % (14) 1分,ATR (アベレージ・トゥルー・レンジ) % (14) 5分,ATR (アベレージ・トゥルー・レンジ) % (14) 15分,ATR (アベレージ・トゥルー・レンジ) % (14) 1日
7011,三菱重工業,3723,JPY,1.1135252580119501,3261500,0.14608600149870826,12378378803711,JPY,0.9132411124768859,電子テクノロジー,1.627339300244101,505346800,JPY,2461191600,JPY,12062408400,JPY,12142564500,JPY,-0.24109295472810074,-0.13408420488066505,1.1406844106463878,1.1135252580119501,-0.24109295472810074,-0.16085790884718498,0.48569886670264434,0.45871559633027525,2.348336594912063,13.420655151060771,0.22738001213891482,0.292148551055828,0.48714264629050225,2.7216249564103645
4586,メドレックス,103,JPY,-3.7383177570093453,3223600,0.3986441449295794,6352065792,JPY,2.94951418245933,ヘルステクノロジー,9,1071200,JPY,17334900,JPY,332030800,JPY,332030800,JPY,0,1.9801980198019802,-3.7383177570093453,-3.7383177570093453,0.9803921568627451,1.9801980198019802,-4.62962962962963,-4.62962962962963,9.778085991678223,28.00371158756178,1.477871803997128,2.794505282719276,3.9615526350336396,11.175044940326144
9831,ヤマダホールディングス,481.8,JPY,0.41684035014589416,3016400,0.6624253058589195,401203396555,JPY,2.432865608170567,小売業,0.6458333333333263,192720,JPY,7756980,JPY,1453301520,JPY,1453301520,JPY,-0.0414937759336076,-0.1036699149906697,0.41684035014589416,0.41684035014589416,0,-0.12437810945272924,0.3750000000000024,0.3750000000000024,1.5477673011918995,27.408021176469884,0.13255504128611206,0.1624875381998452,0.26236348303256224,1.3910876996429475
6501,日立製作所,3877,JPY,0.7798284377436964,2977400,0.19755678247985717,17573674552733.998,JPY,1.4157686505075386,製造加工,1.2150982419855223,117473100,JPY,510213200,JPY,11546869100,JPY,11543379800,JPY,-0.07731958762886598,-0.2829218106995885,0.7798284377436964,0.7798284377436964,-0.07731958762886598,-0.30856261249678585,-0.2829218106995885,-0.2829218106995885,2.0634511220015357,19.984685041067056,0.19172420993789513,0.2617090702789107,0.38431588518505366,2.284030678855531
3664,モブキャストホールディングス,51,JPY,-3.7735849056603774,2969300,0.7993614369284362,3160835457,JPY,2.4217633729942962,電子テクノロジー,5.882352941176471,5100,JPY,56100,JPY,151434300,JPY,151434300,JPY,-1.9230769230769231,-1.9230769230769231,-3.7735849056603774,-3.7735849056603774,0,-1.9230769230769231,-5.555555555555555,-5.555555555555555,5.4621848739495915,23.196067133432525,1.0272168680844094,1.4764792361362777,1.9717819860214574,7.652009747055659
7269,スズキ,2197,JPY,2.567693744164332,2889400,0.47335630161515185,4196365477295,JPY,3.3569800543550623,耐久消費財,3.0232558139534884,37332000,JPY,206204400,JPY,6333264000,JPY,6348011800,JPY,-0.1364256480218281,-0.2271694684234439,2.5210084033613445,2.567693744164332,-0.11371389583807141,-0.2724795640326975,0.9191176470588236,0.9650735294117647,1.7816503023603498,46.448093904288136,0.3097469225669813,0.3843916307136024,0.46363232171442537,2.101715302689742
7777,スリー・ディー・マトリックス,323,JPY,4.53074433656958,2744900,0.3703368906758051,35817464172,JPY,1.8536626282514623,ヘルステクノロジー,8.038585209003216,13501400,JPY,119219300,JPY,886602700,JPY,886602700,JPY,-0.6153846153846154,-0.9202453987730062,4.53074433656958,4.53074433656958,-0.30864197530864196,-0.9202453987730062,2.8662420382165608,2.8662420382165608,5.064130915524097,33.75770770091571,1.2716830558302024,1.424060843816657,1.7416396470625122,6.389075621593013
285A,キオクシアホールディングス,5030,JPY,4.356846473029045,2724500,0.11477436064214665,2600755089111,JPY,1.1138418918075326,電子テクノロジー,4.65587044534413,452302000,JPY,2333296000,JPY,13668958000,JPY,13704235000,JPY,0.4,0.5005005005005005,4.149377593360995,4.356846473029045,0.5005005005005005,0.6012024048096193,0.4,0.6,5.790968474865093,53.21062057750289,0.7452647147642879,0.8610418107970648,1.2691325762509373,5.318453570855566
9984,ソフトバンクグループ,18435,JPY,2.816508644729504,2639700,0.1617648590861823,26225838041992,JPY,1.13581308897573,通信,3.108665749656121,422161500,JPY,3386509500,JPY,48603877500,JPY,48662869500,JPY,-0.08130081300813008,0.38115981486523276,2.816508644729504,2.816508644729504,-0.08130081300813008,0.38115981486523276,1.0967918837400603,1.0967918837400603,3.719632686272154,47.655829670956905,0.4095362561154403,0.5517763450665809,0.7790210266250799,4.026182168079627
4755,楽天グループ,961.8,JPY,-0.2695976773123209,2578000,0.12787216354939002,2089217727303,JPY,1.0717373572350408,小売業,1.9667013527575419,27612270,JPY,147874770,JPY,2473174260,JPY,2479520400,JPY,0.10404744563520965,-0.11420265780731133,-0.23849025300704632,-0.2695976773123209,0.09363295880149575,-0.14530358069537905,-1.3230769230769208,-1.3538461538461584,2.617116715681682,38.41133229642463,0.27854013426085567,0.3374589491384244,0.4492359011912121,2.6736304708991265
4833,ＤＥＦ　ＣＯＮＳＵＬＴＩＮＧ,161,JPY,0,2478200,0.2342753695116821,9756924648,JPY,1.767269626208004,消費者サービス,10.19108280254777,5184000,JPY,34214400,JPY,403720200,JPY,398990200,JPY,-0.6134969325153374,0,0.6211180124223602,0,0,0,-5.263157894736842,-5.847953216374268,28.260869565216417,30.26617321758697,1.5267403419517283,2.1046040016896326,2.8600348392670454,22.641418450391917
8058,三菱商事,3547,JPY,-1.472222222222222,2458700,0.2515682729506021,13643208984375,JPY,1.6873812796496521,流通サービス,1.8053596614950636,124854400,JPY,541626900,JPY,8762154100,JPY,8721008900,JPY,0,-0.02818489289740699,-1.472222222222222,-1.472222222222222,0,-0.08450704225352113,-1.472222222222222,-1.472222222222222,1.6130331467237067,55.17861562828361,0.1868577247758401,0.2635167825549101,0.37288626251582274,1.786845595192745
4596,窪田製薬ホールディングス,76,JPY,2.7027027027027026,2457100,0.23699795516802347,5209903290,JPY,1.4222520967476453,ヘルステクノロジー,12.162162162162161,10024400,JPY,23408000,JPY,185865600,JPY,186739600,JPY,-2.564102564102564,-3.79746835443038,2.7027027027027026,2.7027027027027026,-2.564102564102564,-3.79746835443038,1.3333333333333335,1.3333333333333335,18.13909774436091,36.91569988726409,1.5753344946090593,1.6900507901157946,2.3529949370034173,12.785136331753483
4568,第一三共,3354,JPY,-2.5566531086577573,2396800,0.407542113648614,6416031696777,JPY,2.823717829934938,ヘルステクノロジー,2.746268656716418,266148800,JPY,957331200,JPY,8095080000,JPY,8038867200,JPY,-0.029824038174768867,-0.5341246290801187,-2.6147588611272514,-2.5566531086577573,0,-0.5341246290801187,-1.6720445878556762,-1.6133763567028454,2.4725274725273407,13.269264046134715,0.24540204946245253,0.3181572722958864,0.4763851894457067,2.817121133726847
8316,三井住友フィナンシャルグループ,4154,JPY,-0.7881538094100788,2380900,0.20390370818877857,16136161336182,JPY,1.2108713109011895,金融,0.9633911368015414,250191200,JPY,1102586800,JPY,9836836400,JPY,9890258600,JPY,-0.0721327242125511,-0.28790786948176583,-0.7403869118700741,-0.7881538094100788,-0.0721327242125511,-0.28790786948176583,-0.6692160611854685,-0.7170172084130019,1.606025173670774,14.84033478370132,0.17163763119765776,0.23273120527394012,0.37951202943441664,1.6631481312647272
6857,アドバンテスト,15315,JPY,-1.1935483870967742,2194300,0.14697401514415748,11341528045654,JPY,0.8650519795698407,電子テクノロジー,3.922225947033188,525476000,JPY,3898940000,JPY,33394536000,JPY,33605704500,JPY,-0.03262642740619902,0.5249343832020997,-1.1612903225806452,-1.1935483870967742,-0.03262642740619902,0.49196457855034437,1.456953642384106,1.423841059602649,3.2391213096404137,39.078717293761976,0.45233419983107087,0.5220083214947836,0.7386706906276156,3.6363691539455854
3656,ＫＬＡＢ,172,JPY,-3.3707865168539324,2061600,0.07195176132788274,10672453415,JPY,0.5447439193281901,テクノロジーサービス,4.678362573099415,12728000,JPY,18662000,JPY,354595200,JPY,354595200,JPY,-0.5780346820809248,-0.5780346820809248,-3.3707865168539324,-3.3707865168539324,-0.5780346820809248,-0.5780346820809248,-2.824858757062147,-2.824858757062147,15.780730897009965,53.518294230358634,0.6018366367785665,1.028827687377489,1.6302498389248279,13.690522598580806
3436,ＳＵＭＣＯ,1546,JPY,-2.182853527364758,2052300,0.2268251115723579,553439220551,JPY,1.8039765603942342,製造加工,3.7760416666666665,114743850,JPY,240482050,JPY,3162501550,JPY,3172855800,JPY,-0.25764895330112725,-0.19336126329358685,-2.024675735526732,-2.182853527364758,-0.25764895330112725,-0.16118633139909735,-2.3644388398486758,-2.5220680958385877,4.29680280909248,35.68058918126856,0.5297131926652577,0.6947739467640238,1.1124469274731492,4.409027809810865
8308,りそなホールディングス,1524.5,JPY,-1.1669367909238249,2034700,0.23434386711722607,3551408918457,JPY,1.7130257313492865,金融,1.5086913742210561,38137500,JPY,123107850,JPY,3109731750,JPY,3101900150,JPY,0,-0.22890778286461738,-1.1021069692058345,-1.1669367909238249,-0.0327653997378768,-0.19627085377821393,-1.1981865284974091,-1.2629533678756477,2.4926205313217897,21.94285220884274,0.2509185290252017,0.3110347623083117,0.5207361540929181,2.5954115837999474
5016,ＪＸ金属,1644,JPY,0.9828009828009828,1960000,0.050699170008026505,1509552666016,JPY,0.3571716970847334,非エネルギー鉱物,1.528117359413203,68802800,JPY,388785200,JPY,3220069800,JPY,3222240000,JPY,0.213089802130898,0.39646233607807263,1.1056511056511056,0.9828009828009828,0.18259281801582472,0.3658536585365854,0.4270896888346553,0.3050640634533252,4.683698296837011,73.6091348458073,0.32296924704520513,0.3439758423943755,0.5772523313751594,4.184929212422158
6723,ルネサスエレクトロニクス,1832.5,JPY,-0.7313109425785482,1925200,0.1972136857201393,3280497260498,JPY,1.4766974051344282,電子テクノロジー,2.2988505747126435,29861600,JPY,270036800,JPY,3531546400,JPY,3527929000,JPY,0,0.1366493577480186,-0.7583965330444203,-0.7313109425785482,0,0.16402405686167304,-1.0264721772015126,-0.9994597514856833,2.8376534788540244,13.639006919100954,0.3316026379879837,0.4392257888155174,0.648527971062417,3.2064212018970792
4005,住友化学,465.5,JPY,-2.410901467505241,1886900,0.1297059567541409,781062345703,JPY,0.9000232362877123,素材産業,2.5145067698259163,3768930,JPY,155922030,JPY,878765580,JPY,878351950,JPY,-0.06443298969072409,-0.49187339606501523,-2.452830188679243,-2.410901467505241,-0.08589220528236574,-0.5131494547786994,-1.7732742241925221,-1.7310534093307979,2.3170170323768953,54.28124617865291,0.19437775554259049,0.30060444324537033,0.4719776378742936,2.554719950019978
3905,データセクション,2671,JPY,11.430955360867753,1868200,0.23431757921168353,52979470671,JPY,2.016107730509339,テクノロジーサービス,11.935483870967742,284407200,JPY,1179594900,JPY,4891322700,JPY,4989962200,JPY,0.3755163349605708,3.484320557491289,11.514392991239049,11.430955360867753,0.4132231404958678,3.564509879891515,7.048458149779736,6.968362034441329,9.629887147670752,13.305027709807435,1.4445800469944938,1.9827472430975528,2.560522475251785,12.151239416803564
6526,ソシオネクスト,2958,JPY,0.0169061707523246,1834000,0.10132647068410837,532051885299.99994,JPY,0.9393597533464204,電子テクノロジー,1.51618398637138,105062250,JPY,601370400,JPY,5399015850,JPY,5424972000,JPY,0,0.37307105307783617,0.0676246830092984,0.0169061707523246,-0.016891891891891893,0.37307105307783617,-0.31997305490063993,-0.370495116200741,4.695498889210863,11.590063301187769,0.3938596630975214,0.48776173567328535,0.7352257690058767,4.842216474527353
7182,ゆうちょ銀行,1790.5,JPY,0.2800336040324839,1782700,0.2396008757723153,6383369994629,JPY,2.1128326495717635,金融,1.145891559530464,77170550,JPY,242075600,JPY,3191924350,JPY,3191924350,JPY,-0.02791736460078169,-0.22290331568682087,0.2800336040324839,0.2800336040324839,-0.02791736460078169,-0.19509476031215162,-0.3339827442248817,-0.3339827442248817,1.9009055730641842,30.350227581144324,0.16833451181373513,0.2493222061315617,0.36940867772649943,1.9029365461370764
7453,良品計画,2950.5,JPY,-0.9234385493619879,1722600,0.2106305711455926,1624445198242,JPY,1.504522401154702,非耐久消費財,3.0449826989619377,34231600,JPY,373006400,JPY,5082212200,JPY,5082531300,JPY,-0.03387533875338753,0.03389830508474576,-0.9066487575554063,-0.9234385493619879,0.01694628029147602,0.05085607730123749,1.7586206896551726,1.7413793103448274,3.6942891035416494,34.07701075672664,0.38782363689859406,0.4506021102865248,0.5598257784055631,3.9148687668319915
8801,三井不動産,1580,JPY,-0.5350960025180989,1682000,0.2042218806382604,4406032067871,JPY,1.6389364389611283,金融,1.1139401654996817,33991500,JPY,161894400,JPY,2655921900,JPY,2657560000,JPY,0.15837820715869497,-0.12634238787113075,-0.4721435316336166,-0.5350960025180989,0.1266624445851805,-0.12634238787113075,0.285442435775452,0.22201078338090707,1.867088607594951,34.23338336379637,0.19670443522266617,0.23418957734104703,0.33540561848925426,1.9099633434799368
