winrate_TR,pf_TR,trades_TR,code,ATR_n_TR,TPk_TR,SLk_TR,J_th_TR,dJ_th_TR,vEMA_th_TR,PF_eff_TR,winrate_FW,pf_FW,trades_FW,ATR_n_FW,TPk_FW,SLk_FW,J_th_FW,dJ_th_FW,vEMA_th_FW,PF_eff_FW
0.3377885783718105,0.24802973977695164,823,4063.T,3,1.2,2.5,0.6,0.05,0.05,0.2446025345284005,0.0,0.0,0,3,1.2,2.5,0.6,0.05,0.05,0.0
0.24435590969455512,0.2596119929453263,753,4088.T,5,1.2,1.5,1.0,0.02,0.05,0.25838919887132256,0.0,0.0,0,5,1.2,1.5,1.0,0.02,0.05,0.0
0.27624309392265195,0.3076923076923077,181,4176.T,1,1.2,1.5,0.8,0.02,0.02,0.30497729455232025,0.0,0.0,0,1,1.2,1.5,0.8,0.02,0.02,0.0
0.33797909407665505,0.24678445229681978,861,4182.T,5,1.2,2.5,0.6,0.05,0.05,0.24481092366232282,0.0,0.0,0,5,1.2,2.5,0.6,0.05,0.05,0.0
0.36213991769547327,0.2756280587275693,972,4188.T,5,1.2,2.5,0.6,0.05,0.02,0.272247332466514,0.0,0.0,0,5,1.2,2.5,0.6,0.05,0.02,0.0
0.24203187250996017,0.25646437994722954,1004,4204.T,2,1.2,1.5,0.6,0.05,0.02,0.25514697023611066,0.0,0.0,0,2,1.2,1.5,0.6,0.05,0.02,0.0
0.3,0.39999999999999997,20,423A.T,2,1.2,1.5,1.0,0.05,0.05,0.34244593359731956,0.0,0.0,0,2,1.2,1.5,1.0,0.05,0.05,0.0
0.3969658659924147,0.3166386554621849,791,4307.T,3,1.2,2.5,0.8,0.05,0.05,0.31566318065430804,0.0,0.0,0,3,1.2,2.5,0.8,0.05,0.05,0.0
0.30734966592427615,0.21789473684210525,898,4385.T,5,1.2,2.5,0.6,0.02,0.05,0.2127802704420759,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.05,0.0
0.38471502590673573,0.3033191489361702,772,4443.T,5,1.2,2.5,0.6,0.02,0.05,0.2998302858874634,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.05,0.0
0.315035799522673,0.36923076923076925,419,4446.T,5,1.2,1.5,1.0,0.05,0.02,0.3675029531288308,0.0,0.0,0,5,1.2,1.5,1.0,0.05,0.02,0.0
0.3137724550898204,0.22140845070422532,835,4452.T,5,1.2,2.5,0.6,0.02,0.05,0.21925995897717623,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.05,0.0
0.3692468619246862,0.2847731092436975,956,4502.T,2,1.2,2.5,0.6,0.02,0.05,0.28071786514219266,0.0,0.0,0,2,1.2,2.5,0.6,0.02,0.05,0.0
0.4527310924369748,0.40564705882352936,952,4503.T,5,1.2,2.5,0.6,0.02,0.02,0.396690870821529,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.02,0.0
0.3533678756476684,0.2644264943457189,965,4506.T,2,1.2,2.5,1.0,0.05,0.02,0.2620489648440705,0.0,0.0,0,2,1.2,2.5,1.0,0.05,0.02,0.0
0.32884615384615384,0.23756874095513747,1040,4507.T,3,1.2,2.5,0.6,0.05,0.02,0.23495427022092186,0.0,0.0,0,3,1.2,2.5,0.6,0.05,0.02,0.0
0.29122468659594986,0.19939477303988995,1037,4519.T,2,1.2,2.5,0.6,0.02,0.02,0.19702995721641184,0.0,0.0,0,2,1.2,2.5,0.6,0.02,0.02,0.0
0.33826879271070615,0.24621761658031086,878,4523.T,5,1.2,2.5,0.8,0.02,0.05,0.24512803063088662,0.0,0.0,0,5,1.2,2.5,0.8,0.02,0.05,0.0
0.3722707423580786,0.288169014084507,916,4528.T,5,1.2,2.5,0.6,0.05,0.02,0.2843800940220869,0.0,0.0,0,5,1.2,2.5,0.6,0.05,0.02,0.0
0.27101769911504425,0.22408536585365854,904,4543.T,5,1.2,2.0,0.6,0.02,0.05,0.2228274092487436,0.0,0.0,0,5,1.2,2.0,0.6,0.02,0.05,0.0
0.34328358208955223,0.2517894736842105,871,4568.T,5,1.2,2.5,1.0,0.05,0.02,0.25066160646774854,0.0,0.0,0,5,1.2,2.5,1.0,0.05,0.02,0.0
0.3279569892473118,0.39674796747967483,372,4571.T,2,1.2,1.5,0.6,0.05,0.05,0.3899317697228145,0.0,0.0,0,2,1.2,1.5,0.6,0.05,0.05,0.0
0.3455964325529543,0.25699481865284973,897,4578.T,1,1.2,2.5,0.6,0.05,0.02,0.25324230147545296,0.0,0.0,0,1,1.2,2.5,0.6,0.05,0.02,0.0
0.29519918283963226,0.20370044052863437,979,4587.T,5,1.2,2.5,0.6,0.02,0.02,0.2008451788181405,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.02,0.0
0.379746835443038,0.3050847457627119,395,4588.T,1,1.2,2.5,1.0,0.02,0.02,0.2935876845939912,0.0,0.0,0,1,1.2,2.5,1.0,0.02,0.02,0.0
0.38883349950149554,0.3089108910891089,1003,4592.T,3,1.2,2.5,0.6,0.02,0.02,0.3050821453285031,0.0,0.0,0,3,1.2,2.5,0.6,0.02,0.02,0.0
0.3308900523560209,0.24307692307692308,955,4612.T,2,1.2,2.5,0.6,0.02,0.02,0.23713676099391545,0.0,0.0,0,2,1.2,2.5,0.6,0.02,0.02,0.0
0.3227132579650565,0.22905775075987841,973,4661.T,5,1.2,2.5,0.6,0.05,0.02,0.22848457840987088,0.0,0.0,0,5,1.2,2.5,0.6,0.05,0.02,0.0
0.218609865470852,0.22510822510822512,892,4680.T,2,1.2,1.5,1.0,0.05,0.02,0.22354791934975662,0.0,0.0,0,2,1.2,1.5,1.0,0.05,0.02,0.0
0.3280922431865828,0.23961722488038276,954,4689.T,2,1.2,2.5,1.0,0.02,0.02,0.23415259067176508,0.0,0.0,0,2,1.2,2.5,1.0,0.02,0.02,0.0
