code,mode,signal_mode,session,ATR_n,TPk,SLk,J_th,forward_pf_eff,forward_exp_bp,ts,date,side,pnl_bp,bars,gap_bp,gap_bucket,market_ret_5m,market_bias,vol_spike,repeat_index,j_abs,j_range,sector_code,batch_folder,batch_kind,run_path,ts_exit,win
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-09-24 01:07:00+00:00,2025-09-24,SELL,19.923822292502745,2,-24.376523532720796,<80bp,0.0,neutral,0.7431307243963363,4,1.583932494503112,4.019537508306096,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-09-24 01:09:00+00:00,True
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-09-25 00:40:00+00:00,2025-09-25,SELL,-69.9457121139655,114,-64.14956011730206,<80bp,0.0,neutral,0.8921671935370565,1,2.039848394835758,18.051601962103323,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-09-25 02:34:00+00:00,False
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-09-25 00:51:00+00:00,2025-09-25,SELL,-60.77596275862508,55,-64.14956011730206,<80bp,0.0,neutral,1.0906958561376074,2,1.8219445055588848,18.051601962103323,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-09-25 01:46:00+00:00,False
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-09-25 00:54:00+00:00,2025-09-25,SELL,-55.41763361693877,52,-64.14956011730206,<80bp,0.0,neutral,0.4127682993946064,3,2.1359728781906275,18.051601962103323,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-09-25 01:46:00+00:00,False
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-09-25 01:08:00+00:00,2025-09-25,SELL,-58.26853749556541,38,-64.14956011730206,<80bp,0.0,neutral,1.1571565189671662,4,1.735644025205608,18.051601962103323,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-09-25 01:46:00+00:00,False
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-09-25 01:13:00+00:00,2025-09-25,SELL,-60.70995010075282,81,-64.14956011730206,<80bp,0.0,neutral,0.5518763796909493,5,1.7519400793772708,18.051601962103323,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-09-25 02:34:00+00:00,False
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-10-01 00:10:00+00:00,2025-10-01,BUY,-79.66923872135162,11,-36.018957345971565,<80bp,0.0,neutral,0.0,1,1.631242889324264,9.910593095127304,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-01 00:21:00+00:00,False
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-10-01 00:18:00+00:00,2025-10-01,BUY,45.71853186537769,15,-36.018957345971565,<80bp,0.0,neutral,0.0,2,1.99985428844564,9.910593095127304,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-01 00:33:00+00:00,True
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-10-01 00:40:00+00:00,2025-10-01,SELL,39.19584709407287,39,-36.018957345971565,<80bp,0.0,neutral,0.8496978851963746,1,2.2764763737696647,9.910593095127304,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-01 01:19:00+00:00,True
8035.T,refine,j-cross,AM15,5,2.0,3.0,1.5,1.3824598780383983,7.00788582871992,2025-10-01 01:01:00+00:00,2025-10-01,SELL,27.51071672614132,12,-36.018957345971565,<80bp,0.0,neutral,0.7530480516375806,2,2.1255191484772995,9.910593095127304,80,NIGHTLY_20251105,weekly,WEEKLY_\NIGHTLY_20251105\RUN_refine_AM1015_j-cross,2025-10-01 01:13:00+00:00,True
