code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
6503.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6525.T,coarse,j-only,14,0.9285714285714286,3.9289965880527187,3.9289965880527205,37.36899912340247,1,1
6506.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6526.T,coarse,j-only,1,1.0,999.0,999.0,70.37843812220878,0,1
6594.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6590.T,coarse,j-only,8,0.5,0.7288092106178565,0.7288092106178565,-15.646860772245919,0,1
6701.T,coarse,j-only,5,0.2,0.15326064707346326,0.15326064707346324,-23.098278652231834,0,1
6702.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6752.T,coarse,j-only,3,0.6666666666666666,0.6735500237657045,0.6735500237657044,-9.011228547840803,0,1
6723.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6758.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6869.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6762.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6814.T,coarse,j-only,5,0.6,1.4752806677306245,1.4752806677306243,9.217059470099471,0,1
6965.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6976.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6971.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6871.T,coarse,j-only,1,0.0,0.0,0.0,-47.88561072999491,0,1
6954.T,coarse,j-only,3,0.0,0.0,0.0,-83.03139018126309,0,1
6861.T,coarse,j-only,4,0.0,0.0,0.0,-35.40653235215799,0,1
6963.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6902.T,coarse,j-only,5,0.6,1.2795883921416893,1.2795883921416893,2.638940025330484,0,1
6920.T,coarse,j-only,12,1.0,999.0,999.0,45.80979502129956,1,1
6857.T,coarse,j-only,4,0.25,0.33120628907477573,0.33120628907477573,-34.23985079016923,0,1
6981.T,coarse,j-only,3,1.0,999.0,999.0,36.718181587771674,0,1
7167.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7186.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
6988.T,coarse,j-only,1,1.0,999.0,999.0,11.538460575797522,0,1
7211.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7205.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7003.T,coarse,j-only,13,0.23076923076923078,0.3410228690164376,0.34102286901643764,-29.079401687720058,0,1
7202.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7012.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7011.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7259.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7013.T,coarse,j-only,11,0.2727272727272727,0.22918606390700233,0.2291860639070023,-84.97770444952107,0,1
7261.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7276.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7182.T,coarse,j-only,3,0.3333333333333333,0.20923816398739578,0.20923816398739573,-26.502197495819814,0,1
7201.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7272.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7203.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7599.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7267.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7731.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7730.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7269.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
7270.T,coarse,j-only,3,0.6666666666666666,1.32246715556566,1.3224671555656597,3.5526793839982473,0,1
7762.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
