code,mode,signal_mode,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
5711.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
5952.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
5411.T,coarse,j-only,5,1.5,2.0,0.6,0.0,0.0,0,6,0.6666666666666666,0.7182617900955551,0.718261790095555,-3.532913547711747,0,1
5401.T,coarse,j-only,5,1.2,2.0,0.6,0.0,0.0,0,8,0.875,1.7190091302217216,1.7190091302217216,5.952418713044302,0,1
5726.T,coarse,j-only,1,1.5,1.0,0.4,0.0,0.0,0,3,0.3333333333333333,0.4126464680868751,0.412646468086875,-33.46562224958037,0,1
5631.T,coarse,j-only,1,1.5,2.0,0.4,0.0,0.0,0,23,0.391304347826087,0.4077398875322471,0.40773988753224705,-29.37593072236634,0,1
5991.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
5713.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,13,0.0,0.0,0.0,-41.590799633390624,0,1
5706.T,coarse,j-only,3,1.5,1.5,0.6,0.0,0.0,0,11,0.8181818181818182,2.509762913387353,2.509762913387354,26.297010061851612,0,1
6113.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
5803.T,coarse,j-only,3,1.5,1.0,0.4,0.0,0.0,0,11,0.45454545454545453,1.1115222984925546,1.1115222984925546,3.279382824813496,0,1
5801.T,coarse,j-only,5,1.2,1.0,0.4,0.0,0.0,0,16,0.375,0.698565348476042,0.698565348476042,-8.025681366281342,0,1
6177.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
6141.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
5802.T,coarse,j-only,5,1.2,1.0,0.4,0.0,0.0,0,8,0.75,1.8164249857354215,1.8164249857354215,8.064869939763511,0,1
5838.T,coarse,j-only,5,1.5,1.5,0.4,0.0,0.0,0,12,0.5,0.8274428972446731,0.8274428972446731,-4.4747736707034615,0,1
6232.T,coarse,j-only,1,1.2,1.5,0.4,0.0,0.0,0,4,1.0,999.0,999.0,104.45637387920155,0,1
6268.T,coarse,j-only,5,1.2,1.5,0.4,0.0,0.0,0,4,1.0,999.0,999.0,20.61236514288882,0,1
6471.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
6460.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
6098.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,4,1.0,999.0,999.0,17.760950004834232,0,1
6330.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
6178.T,coarse,j-only,3,1.2,2.0,0.4,0.0,0.0,0,11,1.0,999.0,999.0,12.977589265625253,0,1
6146.T,coarse,j-only,5,1.2,2.0,0.4,0.0,0.0,0,11,0.5454545454545454,1.1732777545442594,1.1732777545442592,3.7834069000279866,0,1
6324.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
6479.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
6301.T,coarse,j-only,5,1.5,2.0,0.4,0.0,0.0,0,17,0.8235294117647058,2.863581801822562,2.863581801822561,9.421866105985536,0,1
6472.T,coarse,j-only,1,1.2,1.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1
6315.T,coarse,j-only,5,1.5,1.5,0.4,0.0,0.0,0,9,0.6666666666666666,4.448542610049231,4.44854261004923,62.48608032019787,0,1
6326.T,coarse,j-only,1,1.2,1.0,1.0,0.0,0.0,0,2,1.0,999.0,999.0,11.18520400804919,0,1
