code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,ティック数,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
8306.T,,8306,三菱ＵＦＪフィナンシャルＧ,0,東Ｐ,貸借,▲,"2,278.00",37,1.65%,"10,765,400","7,018","2,259.00","2,279.00","2,258.00",11:30,〇,-,-,"1,604,800"
5713.T,,5713,住友鉱山,0,東Ｐ,貸借,▲,"5,287.00",187,3.67%,"2,100,900","7,007","5,259.00","5,346.00","5,207.00",11:30,〇,-,-,"84,300"
5401.T,,5401,日本製鉄,0,東Ｐ,貸借,▲,609.2,7.1,1.18%,"8,134,600","6,867",607,611.9,606,11:30,〇,-,-,"1,038,100"
7711.T,,7711,助川電気工業,0,東Ｓ,信用,▲,"7,960.00","1,000.00",14.37%,"2,103,700","6,783","7,210.00","7,960.00","7,140.00",10:51,〇,9.6,-,0
6758.T,,6758,ソニーグループ,0,東Ｐ,貸借,▲,"4,335.00",25,0.58%,"4,373,900","6,424","4,339.00","4,347.00","4,312.00",11:30,〇,-,-,"584,200"
8473.T,,8473,ＳＢＩホールディングス,0,東Ｐ,貸借,▲,"6,680.00",191,2.94%,"1,823,800","6,366","6,652.00","6,750.00","6,607.00",11:30,〇,-,-,"169,900"
1357.T,,1357,ＮＦ日経ダブインバ,0,東Ｐ,貸借,▲,"6,786.00",-196,-2.81%,"2,434,914","6,308","6,917.00","6,950.00","6,775.00",11:30,〇,-,-,"72,321"
5108.T,,5108,ブリヂストン,0,東Ｐ,貸借,▼,"6,505.00",-77,-1.17%,"2,404,200","6,266","6,482.00","6,558.00","6,431.00",11:30,〇,-,-,"51,600"
4088.T,,4088,エア・ウォーター,0,東Ｐ,貸借,▼,"2,225.50",115.5,5.47%,"2,208,800","6,115","2,160.00","2,243.00","2,152.00",11:30,〇,-,0.1,"73,800"
6981.T,,6981,村田製作所,0,東Ｐ,貸借,▼,"2,788.50",66,2.42%,"2,408,900","6,098","2,772.50","2,791.00","2,751.50",11:30,〇,-,-,"158,000"
5020.T,,5020,ＥＮＥＯＳホールディングス,0,東Ｐ,貸借,▲,919.8,4.2,0.46%,"2,685,500","5,938",915.6,923,911.7,11:30,〇,-,-,"1,263,100"
8316.T,,8316,三井住友フィナンシャルＧ,0,東Ｐ,貸借,▼,"3,947.00",62,1.60%,"5,069,200","5,835","3,915.00","3,962.00","3,915.00",11:30,〇,-,-,"816,700"
3436.T,,3436,ＳＵＭＣＯ,0,東Ｐ,貸借,▼,"1,673.50",47.5,2.92%,"2,425,100","5,734","1,617.00","1,675.00","1,615.00",11:30,〇,-,-,"142,200"
5595.T,,5595,ＱＰＳ研究所,0,東Ｇ,貸借,▲,"1,927.00",170,9.68%,"2,035,200","5,733","1,779.00","1,930.00","1,772.00",11:30,〇,5,-,"12,200"
