code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
4384.T,1,1.2,1.5,0.8,0.05,0.02,0.3333333333333333,0.4,30,0.3995202558635394,0.22727272727272727,0.24242424242424243,44,1,1.2,1.5,0.8,0.05,0.02,0.23501191521384673
4413.T,5,1.2,1.5,1.0,0.02,0.05,0.375,0.4923076923076923,64,0.47942430703624733,0.2857142857142857,0.31999999999999995,63,5,1.2,1.5,1.0,0.02,0.05,0.3196162046908316
4415.T,1,1.2,2.0,0.6,0.02,0.05,0.2692307692307692,0.22702702702702704,52,0.22081693638334138,0.23404255319148937,0.19999999999999998,47,1,1.2,2.0,0.6,0.02,0.05,0.18313785596872365
4438.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
4440.T,1,1.0,1.5,1.0,0.02,0.02,0.3,0.2857142857142857,20,0.2853335363996345,0.10416666666666667,0.07751937984496124,48,1,1.0,1.5,1.0,0.02,0.02,0.07741607576734269
4446.T,1,1.2,1.5,1.0,0.05,0.05,0.2689075630252101,0.30117647058823527,119,0.2938999583363968,0.28865979381443296,0.3246376811594203,97,1,1.2,1.5,1.0,0.05,0.05,0.32424832359939426
4760.T,2,1.2,2.0,0.6,0.02,0.02,0.6666666666666666,1.2,9,1.1987205117952817,0.14285714285714285,0.09999999999999999,7,2,1.2,2.0,0.6,0.02,0.02,0.09989337598294017
4888.T,1,0.8,1.5,0.6,0.05,0.02,0.8333333333333334,999.0,6,2.6625799573560776,0.07692307692307693,0.04571428571428572,39,1,0.8,1.5,0.6,0.05,0.02,0.04437633262260128
5246.T,3,1.2,1.5,0.6,0.02,0.02,0.20588235294117646,0.21,102,0.20715865118850194,0.0851063829787234,0.07441860465116279,141,3,1.2,1.5,0.6,0.02,0.02,0.07432934992810038
5250.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,1,,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
5578.T,1,1.2,2.0,0.8,0.02,0.02,0.5833333333333334,0.8400000000000001,12,0.8391043582566976,0.1,0.06666666666666667,30,1,1.2,2.0,0.8,0.02,0.02,0.06659558398862678
5721.T,1,1.0,1.5,0.8,0.02,0.02,0.5238095238095238,0.8148148148148148,21,0.7323560767590619,0.22580645161290322,0.19444444444444445,31,1,1.0,1.5,0.8,0.02,0.02,0.19418532338308458
5858.T,3,1.2,2.0,0.6,0.05,0.05,0.4166666666666667,0.42857142857142855,12,0.4281144684983151,0.36666666666666664,0.34736842105263155,30,3,1.2,2.0,0.6,0.05,0.05,0.3469980428881079
5870.T,2,1.2,2.0,0.6,0.02,0.02,0.42105263157894735,0.43636363636363634,19,0.4358983679255571,0.3157894736842105,0.2769230769230769,19,2,1.2,2.0,0.6,0.02,0.02,0.2766278104142958
5950.T,2,1.2,2.0,0.6,0.05,0.02,0.75,1.7999999999999998,4,1.798080767692923,0.2537313432835821,0.2217391304347826,67,2,1.2,2.0,0.6,0.05,0.02,0.20378248700519797
5952.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,1,0.0,0.2857142857142857,0.2222222222222222,70,1,0.8,1.5,0.6,0.02,0.02,0.2130063965884861
5987.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.36363636363636365,0.3047619047619048,11,1,0.8,1.5,0.6,0.02,0.02,0.30429485226926595
6098.T,5,1.2,2.0,0.6,0.05,0.05,0.3246753246753247,0.28846153846153844,77,0.2881539691815581,0.2545454545454545,0.21265822784810126,110,5,1.2,2.0,0.6,0.05,0.05,0.20465959957480423
