code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD,ranking,stamp
7013.T,1,1.2,2.0,1.0,0.02,0.05,0.3535353535353535,0.3442622950819672,99,0.3277751399440224,0.297029702970297,0.2571428571428571,101.0,1.0,1.2,2.0,1.0,0.02,0.05,0.2532508123511159,DEKIDAKA,20251015
7138.T,1,1.2,1.5,0.8,0.02,0.02,0.5,1.2,6,0.799040511727079,0.1071428571428571,0.109090909090909,28.0,1.0,1.2,1.5,0.8,0.02,0.02,0.0958848614072494,DEKIDAKA,20251015
7182.T,5,1.2,1.5,0.6,0.02,0.05,0.2432432432432432,0.2571428571428571,111,0.2568344501979896,0.1717171717171717,0.1658536585365853,99.0,5.0,1.2,1.5,0.6,0.02,0.05,0.1656547402361017,DEKIDAKA,20251015
7201.T,1,1.2,2.0,0.6,0.05,0.05,0.4130434782608695,0.430188679245283,92,0.4217720319279697,0.376068376068376,0.3771428571428571,117.0,1.0,1.2,2.0,0.6,0.05,0.05,0.3612582364314549,DEKIDAKA,20251015
7203.T,5,1.2,2.0,0.6,0.02,0.05,0.3636363636363636,0.3540983606557377,99,0.342491574798652,0.422680412371134,0.4472727272727272,97.0,5.0,1.2,2.0,0.6,0.02,0.05,0.4388173302107729,DEKIDAKA,20251015
7211.T,3,1.2,1.5,1.0,0.05,0.05,0.3431372549019608,0.4242424242424242,102,0.4174092225439965,0.2962962962962963,0.3413333333333333,108.0,3.0,1.2,1.5,1.0,0.05,0.05,0.3364381102008754,DEKIDAKA,20251015
7261.T,3,1.2,1.5,0.6,0.05,0.05,0.125,0.1153153153153153,128,0.1141486445324398,0.3247863247863248,0.3848101265822785,117.0,3.0,1.2,1.5,0.6,0.05,0.05,0.3843486005775823,DEKIDAKA,20251015
7267.T,5,1.2,2.0,1.0,0.05,0.05,0.4177215189873418,0.4304347826086956,79,0.4299758357526556,0.5375,0.6972972972972973,80.0,5.0,1.2,2.0,1.0,0.05,0.05,0.6965538109080691,DEKIDAKA,20251015
7453.T,3,1.2,2.0,0.6,0.05,0.05,0.33,0.3,100,0.2952072902182411,0.2183908045977011,0.1727272727272727,87.0,3.0,1.2,2.0,0.6,0.05,0.05,0.1674683067949291,DEKIDAKA,20251015
7532.T,3,1.2,1.5,0.8,0.02,0.05,0.2808988764044944,0.3125,89,0.3121251998933902,0.3863636363636363,0.5132075471698113,88.0,3.0,1.2,1.5,0.8,0.02,0.05,0.5030995814577904,DEKIDAKA,20251015
